date,Default,Late,In Grace Period
2018-09-25,0.010989010989,0.0164835164835,0.0
2018-09-26,0.010989010989,0.0164835164835,0.0
2018-09-27,0.0108695652174,0.0217391304348,0.0
2018-09-28,0.0162162162162,0.0162162162162,0.0
2018-09-29,0.0160427807487,0.0213903743316,0.0
2018-09-30,0.0159574468085,0.0212765957447,0.0
2018-10-01,0.0159574468085,0.0212765957447,0.0
2018-10-02,0.0159574468085,0.0212765957447,0.0
2018-10-03,0.015873015873,0.021164021164,0.0
2018-10-04,0.0157068062827,0.020942408377,0.0
2018-10-05,0.015625,0.0208333333333,0.0
2018-10-06,0.015625,0.0208333333333,0.0
2018-10-07,0.0154639175258,0.020618556701,0.0
2018-10-08,0.0154639175258,0.020618556701,0.0
2018-10-09,0.015306122449,0.0204081632653,0.00510204081633
2018-10-10,0.015306122449,0.0204081632653,0.00510204081633
2018-10-11,0.0149253731343,0.0199004975124,0.00497512437811
2018-10-12,0.0147783251232,0.0197044334975,0.00492610837438
2018-10-13,0.0147058823529,0.0196078431373,0.00490196078431
2018-10-14,0.0147058823529,0.0196078431373,0.00490196078431
2018-10-15,0.0147058823529,0.0196078431373,0.00490196078431
2018-10-16,0.0147058823529,0.0196078431373,0.00490196078431
2018-10-17,0.0144927536232,0.0193236714976,0.0048309178744
2018-10-18,0.0143540669856,0.0191387559809,0.00478468899522
2018-10-19,0.0143540669856,0.0191387559809,0.00478468899522
2018-10-20,0.0142857142857,0.0190476190476,0.0047619047619
2018-10-21,0.0142857142857,0.0190476190476,0.0047619047619
2018-10-22,0.0142857142857,0.0190476190476,0.0047619047619
2018-10-23,0.0142180094787,0.0189573459716,0.00473933649289
2018-10-24,0.0141509433962,0.0188679245283,0.00471698113208
2018-10-25,0.0140186915888,0.018691588785,0.00467289719626
2018-10-26,0.0138888888889,0.0185185185185,0.00462962962963
2018-10-27,0.0138888888889,0.0185185185185,0.00462962962963
2018-10-28,0.0138248847926,0.0184331797235,0.00460829493088
2018-10-29,0.0138248847926,0.0184331797235,0.00460829493088
2018-10-30,0.0137614678899,0.0183486238532,0.0045871559633
2018-10-31,0.0137614678899,0.0183486238532,0.0045871559633
2018-11-01,0.0135135135135,0.018018018018,0.0045045045045
2018-11-02,0.0134529147982,0.0179372197309,0.00448430493274
2018-11-03,0.0134529147982,0.0179372197309,0.00448430493274
2018-11-04,0.0134529147982,0.0179372197309,0.00448430493274
2018-11-05,0.0133928571429,0.0178571428571,0.00446428571429
2018-11-06,0.0133928571429,0.0178571428571,0.00446428571429
2018-11-07,0.0133928571429,0.0178571428571,0.00446428571429
2018-11-08,0.0133928571429,0.0178571428571,0.00446428571429
2018-11-09,0.0132743362832,0.0176991150442,0.00442477876106
2018-11-10,0.0131578947368,0.0175438596491,0.00438596491228
2018-11-11,0.0131004366812,0.0174672489083,0.00436681222707
2018-11-12,0.0131004366812,0.0174672489083,0.00436681222707
2018-11-13,0.0131004366812,0.0174672489083,0.00436681222707
2018-11-14,0.0131004366812,0.0174672489083,0.00436681222707
2018-11-15,0.0129310344828,0.0172413793103,0.00431034482759
2018-11-16,0.0127659574468,0.0170212765957,0.00425531914894
2018-11-17,0.0125,0.0166666666667,0.00416666666667
2018-11-18,0.0124481327801,0.0165975103734,0.00414937759336
2018-11-19,0.0124481327801,0.0165975103734,0.00414937759336
2018-11-20,0.0124481327801,0.0165975103734,0.00414937759336
2018-11-21,0.0124481327801,0.0165975103734,0.0
2018-11-22,0.0124481327801,0.0207468879668,0.0
2018-11-23,0.0123456790123,0.0205761316872,0.0
2018-11-24,0.0123456790123,0.0205761316872,0.0
2018-11-25,0.0121951219512,0.020325203252,0.0
2018-11-26,0.0121951219512,0.020325203252,0.0
2018-11-27,0.0121951219512,0.020325203252,0.0
2018-11-28,0.0121951219512,0.020325203252,0.00406504065041
2018-11-29,0.0120967741935,0.0201612903226,0.00403225806452
2018-11-30,0.015873015873,0.015873015873,0.00396825396825
2018-12-01,0.0158102766798,0.0158102766798,0.00395256916996
2018-12-02,0.0197628458498,0.0118577075099,0.00395256916996
2018-12-03,0.0197628458498,0.0118577075099,0.00790513833992
2018-12-04,0.0196850393701,0.011811023622,0.00787401574803
2018-12-05,0.0194552529183,0.011673151751,0.00778210116732
2018-12-06,0.0192307692308,0.0115384615385,0.00769230769231
2018-12-07,0.01953125,0.01171875,0.0078125
2018-12-08,0.0196078431373,0.0117647058824,0.0078431372549
2018-12-09,0.0193798449612,0.0116279069767,0.0077519379845
2018-12-10,0.0193798449612,0.0116279069767,0.0116279069767
2018-12-11,0.0193798449612,0.0116279069767,0.0116279069767
2018-12-12,0.019305019305,0.011583011583,0.011583011583
2018-12-13,0.0191570881226,0.0153256704981,0.0114942528736
2018-12-14,0.0191570881226,0.0153256704981,0.0153256704981
2018-12-15,0.0190839694656,0.0152671755725,0.0152671755725
2018-12-16,0.0190114068441,0.0190114068441,0.0114068441065
2018-12-17,0.0189393939394,0.0189393939394,0.0113636363636
2018-12-18,0.0189393939394,0.0189393939394,0.00757575757576
2018-12-19,0.0188679245283,0.0188679245283,0.011320754717
2018-12-20,0.0189393939394,0.0189393939394,0.0151515151515
2018-12-21,0.0189393939394,0.0189393939394,0.0189393939394
2018-12-22,0.0189393939394,0.0189393939394,0.0189393939394
2018-12-23,0.0188679245283,0.022641509434,0.0150943396226
2018-12-24,0.0188679245283,0.022641509434,0.011320754717
2018-12-25,0.0188679245283,0.022641509434,0.011320754717
2018-12-26,0.0188679245283,0.022641509434,0.0188679245283
2018-12-27,0.0186567164179,0.0223880597015,0.0186567164179
2018-12-28,0.0186567164179,0.0223880597015,0.0186567164179
2018-12-29,0.0223048327138,0.0223048327138,0.0148698884758
2018-12-30,0.0222222222222,0.0259259259259,0.0111111111111
2018-12-31,0.0223880597015,0.0261194029851,0.0149253731343
2019-01-01,0.0223880597015,0.0261194029851,0.0149253731343
2019-01-02,0.0223880597015,0.0261194029851,0.0186567164179
2019-01-03,0.0222222222222,0.0259259259259,0.0185185185185
2019-01-04,0.021978021978,0.029304029304,0.018315018315
2019-01-05,0.021897810219,0.029197080292,0.0182481751825
2019-01-06,0.0217391304348,0.0289855072464,0.018115942029
2019-01-07,0.0212765957447,0.0283687943262,0.0177304964539
2019-01-08,0.0215053763441,0.0322580645161,0.0143369175627
2019-01-09,0.0213523131673,0.0320284697509,0.0213523131673
2019-01-10,0.0211267605634,0.0352112676056,0.0176056338028
2019-01-11,0.0246478873239,0.0316901408451,0.0211267605634
2019-01-12,0.0246478873239,0.0316901408451,0.0211267605634
2019-01-13,0.0245614035088,0.0350877192982,0.0175438596491
2019-01-14,0.0246478873239,0.0352112676056,0.0211267605634
2019-01-15,0.0247349823322,0.0388692579505,0.017667844523
2019-01-16,0.0245614035088,0.0385964912281,0.0210526315789
2019-01-17,0.0243055555556,0.0347222222222,0.0208333333333
2019-01-18,0.0242214532872,0.0346020761246,0.0173010380623
2019-01-19,0.0240549828179,0.0378006872852,0.0137457044674
2019-01-20,0.0238907849829,0.037542662116,0.0136518771331
2019-01-21,0.0238907849829,0.037542662116,0.0136518771331
2019-01-22,0.0239726027397,0.0376712328767,0.0102739726027
2019-01-23,0.0239726027397,0.0376712328767,0.00684931506849
2019-01-24,0.0238907849829,0.037542662116,0.00341296928328
2019-01-25,0.0240549828179,0.0378006872852,0.00343642611684
2019-01-26,0.0240549828179,0.0378006872852,0.00343642611684
2019-01-27,0.0239726027397,0.0376712328767,0.00342465753425
2019-01-28,0.0239726027397,0.0376712328767,0.0102739726027
2019-01-29,0.0239726027397,0.0342465753425,0.013698630137
2019-01-30,0.0238907849829,0.0341296928328,0.0136518771331
2019-01-31,0.0238907849829,0.0341296928328,0.0136518771331
2019-02-01,0.0238907849829,0.0341296928328,0.0170648464164
2019-02-02,0.0238095238095,0.0340136054422,0.0170068027211
2019-02-03,0.0236486486486,0.0337837837838,0.0168918918919
2019-02-04,0.0236486486486,0.0337837837838,0.0168918918919
2019-02-05,0.0236486486486,0.0371621621622,0.0168918918919
2019-02-06,0.0236486486486,0.0371621621622,0.0101351351351
2019-02-07,0.0236486486486,0.0371621621622,0.0101351351351
2019-02-08,0.023569023569,0.040404040404,0.00673400673401
2019-02-09,0.0234113712375,0.0401337792642,0.0066889632107
2019-02-10,0.0233333333333,0.04,0.00666666666667
2019-02-11,0.023178807947,0.0397350993377,0.00331125827815
2019-02-12,0.023178807947,0.0397350993377,0.00331125827815
2019-02-13,0.023102310231,0.039603960396,0.003300330033
2019-02-14,0.0229508196721,0.0393442622951,0.00327868852459
2019-02-15,0.0228758169935,0.0424836601307,0.0
2019-02-16,0.0228758169935,0.0424836601307,0.0
2019-02-17,0.0228758169935,0.0424836601307,0.0
2019-02-18,0.0228013029316,0.042345276873,0.0
2019-02-19,0.0227272727273,0.038961038961,0.0
2019-02-20,0.0225080385852,0.0385852090032,0.0
2019-02-21,0.0225806451613,0.0387096774194,0.0
2019-02-22,0.0225806451613,0.0387096774194,0.0
2019-02-23,0.0225806451613,0.0387096774194,0.0
2019-02-24,0.0225806451613,0.0387096774194,0.0
